,SA,"2-甲基乙酰
乙酸乙酯",PG,ZA,IAA,辛伐他汀,非诺贝特,尿囊素,草酸铵,新利司他,评价值
0,0.61,0.11,0.5,46.31,10.43,0.0,0.08,0.05,0.0,32.96,9.598306622306234
1,0.35,0.0,0.01,0.18,0.02,0.14,0.0,0.04,0.01,0.34,9.57045265933403
2,0.01,0.0,28.75,0.0,0.12,0.0,0.02,0.0,0.7,0.31,9.229887617930453
3,0.01,0.05,110.54,19.24,0.63,0.02,10.44,0.06,0.0,0.01,9.055574255420725
4,11.74,0.1,0.04,9.64,0.0,0.01,0.28,0.01,0.01,0.0,9.05099325442449
5,0.0,0.01,98.95,0.0,0.68,0.19,0.33,26.39,0.01,0.17,9.044715577197035
6,0.0,0.01,0.0,0.8,0.01,0.01,0.01,12.36,4.25,0.05,9.028963637619686
7,0.0,0.06,0.0,0.01,0.01,0.0,17.8,0.92,0.72,0.41,8.997427402023442
8,1.13,0.27,0.73,0.07,0.0,0.04,0.03,0.26,0.01,5.37,8.949324870672339
9,9.96,0.07,0.0,0.03,148.78,0.0,1.04,0.06,0.01,0.06,8.946421832186944
10,178.67,0.01,92.79,0.1,0.24,0.21,0.34,0.2,0.0,0.08,8.945741697091533
11,0.11,0.03,0.17,0.02,45.98,0.08,0.04,0.02,6.62,0.01,8.921011588966689
12,0.44,0.01,0.48,0.0,82.02,0.0,0.8,0.47,0.01,0.0,8.886613019835192
13,0.06,0.45,0.1,0.03,0.0,0.01,0.0,92.54,0.57,0.0,8.852991901964753
14,12.29,0.02,0.44,0.0,0.08,0.14,0.01,0.34,0.01,19.11,8.845181658463844
15,10.89,0.13,67.81,5.41,0.01,1.52,0.01,0.0,0.0,0.0,8.842944132041376
16,3.88,0.06,0.15,0.19,0.2,0.0,1.92,0.1,1.08,14.49,8.835566695765843
17,0.0,55.26,0.08,0.0,52.56,0.01,0.0,0.18,0.01,0.04,8.831262576144466
18,0.07,0.02,183.84,0.0,16.25,0.45,0.0,0.06,0.01,0.13,8.826119492860215
19,435.18,730.75,0.03,0.04,198.39,0.04,0.0,0.0,0.0,0.02,8.8194710268526
